Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.002300,0.000000,0
Solver,0.080100,2.333071,186879
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.000300,0.000000,0
Matvec,0.000000,0.000000,27296
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.002200,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.017900,0.000000,0
Netcdf I/O,0.000000,0.000000,0
PDI I/O,0.000000,0.000000,0
MGSemi,0.000000,0.000000,65142
PCG,0.000100,776.390000,77639
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.004800,15.425000,74040
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.000500,17.000000,8500
Geometries,0.009800,0.000000,0
SubsrfSim,0.000100,0.000000,0
Porosity,0.000000,0.000000,0
Chemistry Initialization,0.052500,0.003810,200
Chemistry Solver,0.006700,0.149254,1000
Total Runtime,0.083400,-nan,0
